Block	Strain	Genotype	X	Y	Latence	NbSS	Taille
B4est_1_Bloc_2_28x3	93JE3	KUH-39	51	1	9.75545239	12.80743545	5.45037009
B4est_1_Bloc_2_28x3	93JE3	OLO-10	52	1	11.86019704	5.16940125	2.62448399
B4est_1_Bloc_2_28x3	93JE3	VDL-34	53	1	9.26713129	19.38207931	3.92802838
B4est_1_Bloc_2_28x3	93JE3	NOH-15	54	1	10.21557085	15.25828323	4.75746512
B4est_1_Bloc_2_28x3	93JE3	SN-16	41	2	7.42990499	19.42911634	5.7985979
B4est_1_Bloc_2_28x3	93JE3	SN-05	42	2	9.18574444	12.95672318	4.75391447
B4est_1_Bloc_2_28x3	93JE3	ALL-006	43	2	10.63444696	3.24922787	1.91235138
B4est_1_Bloc_2_28x3	93JE3	6-A09	44	2	10.70415491	-3.86119948	2.9570348
B4est_1_Bloc_2_28x3	93JE3	SPM-04	47	2	8.57641792	14.01201987	5.30526261
B4est_1_Bloc_2_28x3	93JE3	1-A25	48	2	9.36661648	14.95680618	3.51104098
B4est_1_Bloc_2_28x3	93JE3	PG-10	49	2	8.65780476	18.68891444	4.9570348
B4est_1_Bloc_2_28x3	93JE3	SPM-54	50	2	NA	12.50692011	NA
B4est_1_Bloc_2_28x3	93JE3	SSN-02	51	2	9.61417226	20.05905689	4.39563957
B4est_1_Bloc_2_28x3	93JE3	N-45	52	2	8.30889956	24.1613076	3.608807
B4est_1_Bloc_2_28x3	93JE3	N-56	53	2	8.55306011	22.38216231	4.65349043
B4est_1_Bloc_2_28x3	93JE3	KUH-25	54	2	10.0530601	4.63603217	3.04460009
B4est_1_Bloc_2_28x3	93JE3	6-J02	43	3	9.62276805	11.793188	3.4450164
B4est_1_Bloc_2_28x3	93JE3	SN-07	44	3	10.0180234	4.13062386	3.80427629
B4est_1_Bloc_2_28x3	93JE3	1-J16	45	3	9.78554175	15.94247574	3.08646528
B4est_1_Bloc_2_28x3	93JE3	DRA-29	46	3	8.51155479	15.26052563	4.62750061
B4est_1_Bloc_2_28x3	93JE3	RAM-177	47	3	9.28675114	11.68073779	4.33164613
B4est_1_Bloc_2_28x3	93JE3	DRA-13	48	3	10.83225737	10.46805973	4.34994604
B4est_1_Bloc_2_28x3	93JE3	RHN-38	49	3	9.94831545	14.72162103	3.91235138
B4est_1_Bloc_2_28x3	93JE3	STR-02	50	3	9.22751271	4.12244722	3.6191303
B4est_1_Bloc_2_28x3	93JE3	NL-1328	51	3	9.3786075	8.60301703	2.95703481
B4est_1_Bloc_2_28x3	93JE3	KUH-37	52	3	9.90196531	11.68073779	4.00171823
B4est_1_Bloc_2_28x3	93JE3	DRA-19	53	3	10.13444695	19.12244722	3.608807
B4est_1_Bloc_2_28x3	93JE3	SN-45	54	3	10.44831545	1.87908542	2.91235138
B4est_1_Bloc_2_28x3	93JE3	1-A09	41	4	9.2477874	22.35147858	4.21488566
B4est_1_Bloc_2_28x3	93JE3	6-A26	42	4	9.73919161	8.16463324	2.95703481
B4est_1_Bloc_2_28x3	93JE3	BDG	43	4	9.75087052	9.57848708	4.17583214
B4est_1_Bloc_2_28x3	93JE3	DRA-32	44	4	9.76218394	-0.54627071	2.51944014
B4est_1_Bloc_2_28x3	93JE3	71041-3-402	45	4	NA	9.83002553	NA
B4est_1_Bloc_2_28x3	93JE3	N-60	46	4	9.29722065	30.13880052	3.26057918
B4est_1_Bloc_2_28x3	93JE3	SSN-05	47	4	9.72751272	12.68891444	3.7829209
B4est_1_Bloc_2_28x3	93JE3	ALL-008	48	4	9.8786075	15.39851561	3.608807
B4est_1_Bloc_2_28x3	93JE3	SSN-15	49	4	9.62276806	8.09176348	4.08646528
B4est_1_Bloc_2_28x3	93JE3	KUH-36	50	4	NA	4.1613076	NA
B4est_1_Bloc_2_28x3	93JE3	CTR-05	51	4	9.7041549	16.46190593	3.60880699
B4est_1_Bloc_2_28x3	93JE3	ALL-017	52	4	9.15780477	7.64187741	4.47937651
B4est_1_Bloc_2_28x3	93JE3	N-19	53	4	10.33239227	17.13677766	2.12610635
B4est_1_Bloc_2_28x3	93JE3	N-59	54	4	8.07641792	18.59484038	4.30526261
B4est_1_Bloc_2_28x3	93JE3	NOH-28	41	5	9.58809683	NA	NA
B4est_1_Bloc_2_28x3	93JE3	SN-04	42	5	9.48335216	8.92612244	4.56281213
B4est_1_Bloc_2_28x3	93JE3	NL-1421	43	5	10.66948367	9.42919935	2.41333771
B4est_1_Bloc_2_28x3	93JE3	DRA-22	44	5	10.90196532	7.84637883	4.60779689
B4est_1_Bloc_2_28x3	93JE3	N-39	45	5	9.90196532	10.57031043	2.47937652
B4est_1_Bloc_2_28x3	93JE3	DRA-40	46	5	8.64612586	13.85455548	4.13114871
B4est_1_Bloc_2_28x3	93JE3	VDL-52	47	5	9.80889956	11.65005405	4.30526262
B4est_1_Bloc_2_28x3	93JE3	KUH-55	48	5	9.23919162	9.46805973	5.56874337
B4est_1_Bloc_2_28x3	93JE3	SSC	49	5	9.32057847	11.16948425	3.82760433
B4est_1_Bloc_2_28x3	93JE3	1-A04	50	5	9.98335216	3.50076632	4.30526262
B4est_1_Bloc_2_28x3	93JE3	ERS-17	51	5	11.51802339	2.35147857	1.62104352
B4est_1_Bloc_2_28x3	93JE3	KUH-53	52	5	9.45999435	16.30444155	3.7829209
B4est_1_Bloc_2_28x3	93JE3	DRA-45	53	5	10.5413812	7.48441302	2.95703481
B4est_1_Bloc_2_28x3	93JE3	KUH-50	54	5	11.05306011	NA	3.30526262
B4est_1_Bloc_2_28x3	93JE3	N-61	41	6	10.04138121	4.81569509	2.9570348
B4est_1_Bloc_2_28x3	93JE3	RAM-188	42	6	8.25087052	15.77481185	4.34994604
B4est_1_Bloc_2_28x3	93JE3	BDX-03	43	6	8.64612586	22.61119367	5.30526261
B4est_1_Bloc_2_28x3	93JE3	ALL-020	44	6	9.7041549	8.2962649	3.91235138
B4est_1_Bloc_2_28x3	93JE3	ALL-026	45	6	10.34380138	2.17155491	3.05144402
B4est_1_Bloc_2_28x3	93JE3	OLO-06	47	6	11.62638062	5.18583754	2.24568693
B4est_1_Bloc_2_28x3	93JE3	1-A26	48	6	9.48335216	11.1613076	5.00171823
B4est_1_Bloc_2_28x3	93JE3	N-11	49	6	10.23919162	15.31059534	3.64316712
B4est_1_Bloc_2_28x3	93JE3	N-5	50	6	9.32057847	4.97315948	3.9570348
B4est_1_Bloc_2_28x3	93JE3	ALL-099	51	6	10.2158338	6.28808825	3.65349042
B4est_1_Bloc_2_28x3	93JE3	AST-006	52	6	9.14612586	5.38216232	3.00171823
B4est_1_Bloc_2_28x3	93JE3	KUH-44	53	6	8.48335216	8.17766089	4.65349042
B4est_1_Bloc_2_28x3	93JE3	SN-02	54	6	9.15780477	8.31877199	3.13114871
B4est_1_Bloc_2_28x3	93JE3	SN-40	41	7	9.91364422	3.90976916	3.59657047
B4est_1_Bloc_2_28x3	93JE3	DRA-31	42	7	9.98335217	4.18583754	3.00171823
B4est_1_Bloc_2_28x3	93JE3	1-A08	43	7	9.98335216	13.36580902	4.52405995
B4est_1_Bloc_2_28x3	93JE3	N-66	44	7	9.91243483	-0.499233680000001	3.71185396
B4est_1_Bloc_2_28x3	93JE3	ALL-013	45	7	10.39420841	13.50692011	3.04280289
B4est_1_Bloc_2_28x3	93JE3	6-A30	46	7	8.80889956	15.73595147	4.26651044
B4est_1_Bloc_2_28x3	93JE3	KUH-33	47	7	10.87860751	7.39033896	3.13114871
B4est_1_Bloc_2_28x3	93JE3	KUH-51	48	7	10.72782895	14.98133613	2.49475655
B4est_1_Bloc_2_28x3	93JE3	1-A02	49	7	9.96949242	11.53145005	3.89069466
B4est_1_Bloc_2_28x3	93JE3	ALL-014	50	7	8.98335217	13.96498284	3.43469309
B4est_1_Bloc_2_28x3	93JE3	ALL-034	51	7	8.72751271	7.5396267	4.9570348
B4est_1_Bloc_2_28x3	93JE3	N-54	52	7	9.22751271	23.54780335	4.47937652
B4est_1_Bloc_2_28x3	93JE3	6-A25	53	7	9.05306011	26.75764021	4.26057918
B4est_1_Bloc_2_28x3	93JE3	ALL-015	54	7	9.54825698	1.76017843	3.83083447
B4est_1_Bloc_2_28x3	93JE3	6-J17	41	8	11.45999435	1.75230476	3.08646529
B4est_1_Bloc_2_28x3	93JE3	N-22	42	8	9.53435323	-3.7037351	3.59373439
B4est_1_Bloc_2_28x3	93JE3	N-28	43	8	8.97167326	11.9015925	3.608807
B4est_1_Bloc_2_28x3	93JE3	NL-1138	44	8	9.22322433	4.85455548	2.73658428
B4est_1_Bloc_2_28x3	93JE3	ALL-005	45	8	10.40980347	3.74412812	3.0037636
B4est_1_Bloc_2_28x3	93JE3	SN-18	46	8	8.72751271	13.39033896	5.65349042
B4est_1_Bloc_2_28x3	93JE3	N-12	47	8	10.23135346	11.83820218	4.65144506
B4est_1_Bloc_2_28x3	93JE3	ALL-012	48	8	8.47167326	13.39033896	4.65349042
B4est_1_Bloc_2_28x3	93JE3	KUH-42	49	8	9.57641792	4.64187741	3.95703481
B4est_1_Bloc_2_28x3	93JE3	LRD-04	50	8	9.89028641	7.22469792	2.50900985
B4est_1_Bloc_2_28x3	93JE3	NOH-45	51	8	8.57641792	15.83002553	4.82760433
B4est_1_Bloc_2_28x3	93JE3	ALL-002	52	8	9.56473901	6.37398566	3.608807
B4est_1_Bloc_2_28x3	93JE3	N-46	53	8	9.79722065	5.65005406	3.60880699
B4est_1_Bloc_2_28x3	93JE3	ALL-041	54	8	8.73919161	35.58464087	5.00171823
B4est_1_Bloc_2_28x3	93JE3	DRA-06	41	9	NA	15.97113662	NA
B4est_1_Bloc_2_28x3	93JE3	SN-01	42	9	9.30889956	9.48441302	3.95703481
B4est_1_Bloc_2_28x3	93JE3	VDL-24	43	9	8.80889956	8.32694864	4.13114871
B4est_1_Bloc_2_28x3	93JE3	AST-005	44	9	9.98335216	9.00384321	3.30526261
B4est_1_Bloc_2_28x3	93JE3	ALL-011	45	9	9.82057847	6.34335005	3.12395454
B4est_1_Bloc_2_28x3	93JE3	KUH-29	46	9	9.94831545	7.70526774	4.26057919
B4est_1_Bloc_2_28x3	93JE3	6-J32	47	9	9.14612586	8.28808825	5.30526262
B4est_1_Bloc_2_28x3	93JE3	ALL-021	48	9	8.5996185	12.85485846	4.93047662
B4est_1_Bloc_2_28x3	93JE3	RHN-28	49	9	8.95999435	17.20834463	4.608807
B4est_1_Bloc_2_28x3	93JE3	KUH-54	50	9	9.21583381	17.58666374	4.26057919
B4est_1_Bloc_2_28x3	93JE3	OLO-01	51	9	11.16911818	13.08969282	2.21589576
B4est_1_Bloc_2_28x3	93JE3	SN-26	52	9	9.59927535	24.55598	3.22891473
B4est_1_Bloc_2_28x3	93JE3	SN-42	53	9	8.80889956	27.5396267	3.9570348
B4est_1_Bloc_2_28x3	93JE3	SN-33	54	9	9.15780476	10.59484038	4.65349043
B4est_1_Bloc_2_28x3	93JE3	1-J30	41	10	9.30889956	5.64187741	4.47937652
B4est_1_Bloc_2_28x3	93JE3	LOW-1	42	10	8.90196531	18.85455547	4.00171823
