Block	Strain	Genotype	X	Y	Latence	NbSS	Taille
B4est_1_Bloc_4_28x3	P72	STR-02	159	3	9.31465529	20.75253598	3.89832945
B4est_1_Bloc_4_28x3	P72	NL-1328	160	3	8.86122932	21.20086882	3.66186414
B4est_1_Bloc_4_28x3	P72	KUH-37	161	3	8.61771626	45.22784281	2.95645026
B4est_1_Bloc_4_28x3	P72	DRA-19	162	3	8.60474239	29.95574462	3.13280373
B4est_1_Bloc_4_28x3	P72	SN-45	163	3	8.53436099	43.01716338	3.52112211
B4est_1_Bloc_4_28x3	P72	1-A09	150	4	9.80168142	13.21982119	2.07468293
B4est_1_Bloc_4_28x3	P72	6-A26	151	4	8.70321191	37.1090161	2.95645026
B4est_1_Bloc_4_28x3	P72	BDG	152	4	8.74978594	31.90580745	3.66186414
B4est_1_Bloc_4_28x3	P72	DRA-32	153	4	8.34825546	16.43852224	2.8382176
B4est_1_Bloc_4_28x3	P72	71041-3-402	154	4	7.59176852	32.21636122	4.07269187
B4est_1_Bloc_4_28x3	P72	N-60	155	4	9.21618578	17.69111722	3.13280373
B4est_1_Bloc_4_28x3	P72	SSN-05	156	4	8.84825545	15.68364643	3.66186413
B4est_1_Bloc_4_28x3	P72	ALL-008	157	4	9.10394213	21.93278144	2.9529137
B4est_1_Bloc_4_28x3	P72	SSN-15	158	4	9.45969884	37.15093165	3.48551067
B4est_1_Bloc_4_28x3	P72	KUH-36	159	4	8.44672497	18.55333814	3.95645026
B4est_1_Bloc_4_28x3	P72	CTR-05	160	4	9.21618577	20.17790564	3.13280373
B4est_1_Bloc_4_28x3	P72	ALL-017	161	4	9.53222062	13.28123995	3.3091572
B4est_1_Bloc_4_28x3	P72	N-19	162	4	9.20321191	5.12796847	3.48551067
B4est_1_Bloc_4_28x3	P72	N-59	163	4	NA	NA	NA
B4est_1_Bloc_4_28x3	P72	NOH-28	150	5	8.11771626	7.223832	3.13280373
B4est_1_Bloc_4_28x3	P72	SN-04	151	5	9.88717706	14.62623849	3.78009679
B4est_1_Bloc_4_28x3	P72	NL-1421	152	5	10.45969884	1.32716631	2.07468292
B4est_1_Bloc_4_28x3	P72	DRA-22	153	5	9.36122932	6.33117712	2.13280373
B4est_1_Bloc_4_28x3	P72	N-39	154	5	8.61771626	28.3426587	3.60374332
B4est_1_Bloc_4_28x3	P72	DRA-40	155	5	NA	18.15895327	NA
B4est_1_Bloc_4_28x3	P72	VDL-52	156	5	8.69023804	16.01315258	3.78009679
B4est_1_Bloc_4_28x3	P72	KUH-55	157	5	9.27573368	7.92877063	3.66186414
B4est_1_Bloc_4_28x3	P72	SSC	158	5	8.8742032	13.08204211	3.60374333
B4est_1_Bloc_4_28x3	P72	1-A04	159	5	8.60474239	32.72210201	3.78009679
B4est_1_Bloc_4_28x3	P72	ERS-17	160	5	9.03222061	27.8329071	4.95645026
B4est_1_Bloc_4_28x3	P72	KUH-53	161	5	9.42077723	23.72210202	3.19092454
B4est_1_Bloc_4_28x3	P72	DRA-45	162	5	10.40015094	22.54932733	2.72197598
B4est_1_Bloc_4_28x3	P72	KUH-50	163	5	9.44057419	19.99086159	3.05533065
B4est_1_Bloc_4_28x3	P72	N-61	150	6	10.11156548	6.35481249	2.87897718
B4est_1_Bloc_4_28x3	P72	RAM-188	151	6	9.26958291	23.31635691	3.40803758
B4est_1_Bloc_4_28x3	P72	BDX-03	152	6	8.85507855	20.90647965	3.76074452
B4est_1_Bloc_4_28x3	P72	ALL-020	153	6	8.86805242	10.70728181	3.52627024
B4est_1_Bloc_4_28x3	P72	ALL-026	154	6	9.3291308	9.46215762	3.9952188
B4est_1_Bloc_4_28x3	P72	OLO-06	156	6	9.99246968	9.63037065	2.29179597
B4est_1_Bloc_4_28x3	P72	1-A26	157	6	NA	18.17110706	NA
B4est_1_Bloc_4_28x3	P72	N-11	158	6	8.904481	19.25225946	3.07828993
B4est_1_Bloc_4_28x3	P72	N-5	159	6	8.9405742	34.74172658	3.58439105
B4est_1_Bloc_4_28x3	P72	ALL-099	160	6	8.42760033	29.80314534	3.40803759
B4est_1_Bloc_4_28x3	P72	AST-006	161	6	9.68488752	4.20154102	2.11698802
B4est_1_Bloc_4_28x3	P72	KUH-44	162	6	10.36805242	10.8490717	2.87897718
B4est_1_Bloc_4_28x3	P72	SN-02	163	6	10.19706113	12.61542909	2.52627025
B4est_1_Bloc_4_28x3	P72	SN-40	150	7	8.58561774	29.16709624	4.11345146
B4est_1_Bloc_4_28x3	P72	DRA-31	151	7	8.62453935	36.7187634	2.99720984
B4est_1_Bloc_4_28x3	P72	1-A08	152	7	9.03904371	18.07123272	4.05533065
B4est_1_Bloc_4_28x3	P72	N-66	153	7	9.12453936	18.03678795	4.17356331
B4est_1_Bloc_4_28x3	P72	ALL-013	154	7	9.02606984	26.3588233	4.05533065
B4est_1_Bloc_4_28x3	P72	6-A30	155	7	8.9405742	23.82610852	3.99720984
B4est_1_Bloc_4_28x3	P72	KUH-33	156	7	8.58564588	2.33530928	3.24177191
B4est_1_Bloc_4_28x3	P72	KUH-51	157	7	9.59859162	15.12116989	3.58439105
B4est_1_Bloc_4_28x3	P72	1-A02	158	7	8.210035	9.12864067	4.40803759
B4est_1_Bloc_4_28x3	P72	ALL-014	159	7	9.2695829	1.7187634	3.40803759
B4est_1_Bloc_4_28x3	P72	ALL-034	160	7	8.45354806	25.31635692	3.93709799
B4est_1_Bloc_4_28x3	P72	N-54	161	7	10.54847335	8.3235374	1.13190018
B4est_1_Bloc_4_28x3	P72	6-A25	162	7	8.67111339	28.84160092	4.58439106
B4est_1_Bloc_4_28x3	P72	ALL-015	163	7	9.18408726	12.19515563	2.52627024
B4est_1_Bloc_4_28x3	P72	6-J17	150	8	9.36805242	17.07123271	3.23168411
B4est_1_Bloc_4_28x3	P72	N-22	151	8	9.11156549	27.80314534	2.52627025
B4est_1_Bloc_4_28x3	P72	N-28	152	8	9.53904371	12.54252875	2.82085638
B4est_1_Bloc_4_28x3	P72	NL-1138	153	8	9.62453936	13.25894896	2.17356331
B4est_1_Bloc_4_28x3	P72	ALL-005	154	8	11.32974924	3.74172658	1.03933323
B4est_1_Bloc_4_28x3	P72	SN-18	155	8	8.710035	12.00234318	3.40803758
B4est_1_Bloc_4_28x3	P72	N-12	156	8	9.86805242	33.25894896	3.05533065
B4est_1_Bloc_4_28x3	P72	ALL-012	157	8	9.03904371	24.34278006	4.23168411
B4est_1_Bloc_4_28x3	P72	KUH-42	158	8	9.54918916	19.72946372	3.03237137
B4est_1_Bloc_4_28x3	P72	LRD-04	159	8	8.78255677	31.88351646	4.40803759
B4est_1_Bloc_4_28x3	P72	NOH-45	160	8	8.08561775	32.23999659	4.28980492
B4est_1_Bloc_4_28x3	P72	ALL-002	161	8	9.35507855	17.28592296	3.40803759
B4est_1_Bloc_4_28x3	P72	N-46	162	8	8.69706113	15.59993669	4.23168412
B4est_1_Bloc_4_28x3	P72	ALL-041	163	8	10.08993116	0.0212955400000006	1.89570102
B4est_1_Bloc_4_28x3	P72	DRA-06	150	9	8.34210468	18.61542909	4.76074453
B4est_1_Bloc_4_28x3	P72	SN-01	151	9	9.7656041	10.98685078	2.23606909
B4est_1_Bloc_4_28x3	P72	VDL-24	152	9	9.30850452	6.63438146	2.99720984
B4est_1_Bloc_4_28x3	P72	AST-005	153	9	9.34210468	12.27444137	3.40803759
B4est_1_Bloc_4_28x3	P72	ALL-011	154	9	8.92760032	31.08672512	4.11345146
B4est_1_Bloc_4_28x3	P72	KUH-29	155	9	9.88102629	-2.25080264	2.52627024
B4est_1_Bloc_4_28x3	P72	6-J32	156	9	9.02606984	18.68431863	3.87897719
B4est_1_Bloc_4_28x3	P72	ALL-021	157	9	8.42760033	37.21703341	3.23168412
B4est_1_Bloc_4_28x3	P72	RHN-28	158	9	NA	9.47046952	NA
B4est_1_Bloc_4_28x3	P72	KUH-54	159	9	9.56499145	5.31635691	3.17356331
B4est_1_Bloc_4_28x3	P72	OLO-01	160	9	9.86805242	12.28191214	2.52627024
B4est_1_Bloc_4_28x3	P72	SN-26	161	9	9.28255677	14.36629408	2.34991678
B4est_1_Bloc_4_28x3	P72	SN-42	162	9	9.42760033	11.80314534	4.11345146
B4est_1_Bloc_4_28x3	P72	SN-33	163	9	8.62453935	23.6039475	4.40803758
B4est_1_Bloc_4_28x3	P72	1-J30	150	10	9.51309597	18.66135545	3.58439106
